version	book	chapter	verse	clause_atom	is_shared	is_published	status	keywords	ntext
c	Genesis	5	11	472	T		!	crossref	[Genesis 5:8 ~84%](Genesis 5:8) , [14 ~86%](Genesis 5:14) , [17 ~78%](Genesis 5:17) , [20 ~87%](Genesis 5:20) , [23 ~80%](Genesis 5:23) , [27 ~83%](Genesis 5:27) , [31 ~81%](Genesis 5:31) ; [9:29 ~79%](Genesis 9:29)
c	Genesis	9	29	846	T		!	crossref	[Genesis 5:5 ~83%](Genesis 5:5) , [11 ~79%](Genesis 5:11) , [17 ~78%](Genesis 5:17) , [27 ~77%](Genesis 5:27)
c	Genesis	5	16	484	T		!	crossref	[Genesis 5:4 ~78%](Genesis 5:4) , [7 ~84%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [19 ~78%](Genesis 5:19) , [26 ~79%](Genesis 5:26) , [30 ~78%](Genesis 5:30) ; [11:11 ~76%](Genesis 11:11) , [13 ~77%](Genesis 11:13) , [15 ~83%](Genesis 11:15)
c	Genesis	5	16	484	T		!	crossref	[Genesis 11:17 ~79%](Genesis 11:17) , [19 ~81%](Genesis 11:19) , [21 ~79%](Genesis 11:21) , [25 ~78%](Genesis 11:25)
c	Genesis	5	19	492	T		!	crossref	[Genesis 5:4 ~86%](Genesis 5:4) , [7 ~82%](Genesis 5:7) , [10 ~79%](Genesis 5:10) , [13 ~78%](Genesis 5:13) , [16 ~78%](Genesis 5:16) , [30 ~76%](Genesis 5:30) ; [11:11 ~81%](Genesis 11:11) , [13 ~81%](Genesis 11:13) , [15 ~76%](Genesis 11:15) , [17 ~79%](Genesis 11:17)
c	Genesis	5	19	492	T		!	crossref	[Genesis 11:19 ~81%](Genesis 11:19) , [21 ~84%](Genesis 11:21) , [23 ~83%](Genesis 11:23) , [25 ~80%](Genesis 11:25)
c	Genesis	10	2	850	T		!	crossref	[Chronica_I 1:5 ~100%](Chronica_I 1:5)
c	Chronica_I	1	5	5	T		!	crossref	[Genesis 10:2 ~100%](Genesis 10:2)
c	Genesis	10	6	856	T		!	crossref	[Chronica_I 1:8 ~100%](Chronica_I 1:8)
c	Chronica_I	1	8	8	T		!	crossref	[Genesis 10:6 ~100%](Genesis 10:6)
c	Genesis	10	7	857	T		!	crossref	[Chronica_I 1:9 ~100%](Chronica_I 1:9)
c	Chronica_I	1	9	9	T		!	crossref	[Genesis 10:7 ~100%](Genesis 10:7)
c	Genesis	10	8	859	T		!	crossref	[Chronica_I 1:10 ~100%](Chronica_I 1:10)
c	Chronica_I	1	10	11	T		!	crossref	[Genesis 10:8 ~100%](Genesis 10:8)
c	Genesis	10	13	870	T		!	crossref	[Chronica_I 1:11 ~100%](Chronica_I 1:11)
c	Chronica_I	1	11	14	T		!	crossref	[Genesis 10:13 ~100%](Genesis 10:13)
c	Genesis	10	14	871	T		!	crossref	[Chronica_I 1:12 ~100%](Chronica_I 1:12)
c	Chronica_I	1	12	15	T		!	crossref	[Genesis 10:14 ~100%](Genesis 10:14)
c	Genesis	10	15	874	T		!	crossref	[Chronica_I 1:13 ~100%](Chronica_I 1:13)
c	Chronica_I	1	13	18	T		!	crossref	[Genesis 10:15 ~100%](Genesis 10:15)
c	Genesis	10	16	875	T		!	crossref	[Genesis 15:21 ~83%](Genesis 15:21) . [Chronica_I 1:14 ~100%](Chronica_I 1:14)
c	Genesis	15	21	1317	T		!	crossref	[Genesis 10:16 ~83%](Genesis 10:16) . [Chronica_I 1:14 ~83%](Chronica_I 1:14)
c	Chronica_I	1	14	19	T		!	crossref	[Genesis 10:16 ~100%](Genesis 10:16) ; [15:21 ~83%](Genesis 15:21)
c	Genesis	10	17	876	T		!	crossref	[Genesis 15:20 ~76%](Genesis 15:20) . [Chronica_I 1:15 ~100%](Chronica_I 1:15)
